pfamA_acc	clan_acc	clan_id	pfamA_id	description
PF06219	NULL	NULL	DUF1005	Protein of unknown function (DUF1005)
PF06220	CL0361	C2H2-zf	zf-U1	U1 zinc finger
PF06221	NULL	NULL	zf-C2HC5	Putative zinc finger motif, C2HC5-type
PF06222	CL0567	Phage_TACs	Phage_TAC_1	Phage tail assembly chaperone
PF06223	NULL	NULL	Phage_tail_T	Minor tail protein T
PF06224	CL0123	HTH	HTH_42	Winged helix DNA-binding domain
PF06226	NULL	NULL	DUF1007	Protein of unknown function (DUF1007)
PF06227	CL0551	BCLiA	Poxv_Bcl-2-like	Poxvirus Bcl-2-like proteins
PF06228	CL0312	HemS_ChuX	ChuX_HutX	Haem utilisation ChuX/HutX
PF06229	CL0066	Trefoil	FRG1	FRG1-like domain
PF06230	CL0109	CDA	LpxI_C	LpxI C-terminal domain
PF06231	NULL	NULL	DUF1010	Protein of unknown function (DUF1010)
PF06232	CL0321	PLAT	ATS3	Embryo-specific protein 3, (ATS3)
PF06233	NULL	NULL	Usg	Usg-like family
PF06234	CL0072	Ubiquitin	TmoB	Toluene-4-monooxygenase system protein B (TmoB)
PF06235	NULL	NULL	NAD4L	NADH dehydrogenase subunit 4L (NAD4L)
PF06236	CL0541	SH2-like	MelC1	Tyrosinase co-factor MelC1
PF06237	NULL	NULL	DUF1011	Protein of unknown function (DUF1011)
PF06239	NULL	NULL	ECSIT	Evolutionarily conserved signalling intermediate in Toll pathway
PF06240	CL0209	Bet_v_1_like	COXG	Carbon monoxide dehydrogenase subunit G (CoxG)
PF06241	CL0582	TrkA_C	Castor_Poll_mid	Castor and Pollux, part of voltage-gated ion channel
PF06242	NULL	NULL	TrcR	Transcriptional cell cycle regulator TrcR
PF06243	NULL	NULL	PaaB	Phenylacetic acid degradation B
PF06244	CL0114	HMG-box	Ccdc124	Coiled-coil domain-containing protein 124 /Oxs1
PF06245	NULL	NULL	DUF1015	Protein of unknown function (DUF1015)
PF06246	NULL	NULL	Isy1	Isy1-like splicing family
PF06247	CL0001	EGF	Plasmod_Pvs28	Pvs28 EGF domain
PF06248	CL0295	Vps51	Zw10	Centromere/kinetochore Zw10
PF06249	CL0029	Cupin	EutQ	Ethanolamine utilisation protein EutQ
PF06250	CL0236	PDDEXK	YhcG_C	YhcG PDDEXK nuclease domain
PF06251	CL0072	Ubiquitin	Caps_syn_GfcC_C	Capsule biosynthesis GfcC C-terminal
PF06252	NULL	NULL	GemA	Bacteriophage Mu, GemA protein
PF06253	NULL	NULL	MTTB	Trimethylamine methyltransferase (MTTB)
PF06254	NULL	NULL	YdaT_toxin	Putative bacterial toxin ydaT
PF06255	NULL	NULL	MafB	Neisseria toxin MafB
PF06256	NULL	NULL	Nucleo_LEF-12	Nucleopolyhedrovirus LEF-12 protein
PF06257	NULL	NULL	VEG	Biofilm formation stimulator VEG
PF06258	CL0113	GT-B	Mito_fiss_Elm1	Mitochondrial fission ELM1
PF06259	CL0028	AB_hydrolase	Abhydrolase_8	Alpha/beta hydrolase
PF06260	NULL	NULL	DUF1024	Protein of unknown function (DUF1024)
PF06261	NULL	NULL	LktC	Actinobacillus actinomycetemcomitans leukotoxin activator LktC
PF06262	CL0126	Peptidase_MA	Zincin_1	Zincin-like metallopeptidase
PF06265	NULL	NULL	YutD-like	Putative antitoxin YutD-like
PF06266	NULL	NULL	HrpF	HrpF protein
PF06267	NULL	NULL	DUF1028	Family of unknown function (DUF1028)
PF06268	CL0066	Trefoil	Fascin	Fascin domain
PF06269	NULL	NULL	DUF1029	Protein of unknown function (DUF1029)
PF06270	NULL	NULL	DUF1030	Protein of unknown function (DUF1030)
PF06271	NULL	NULL	RDD	RDD family
PF06273	NULL	NULL	eIF-4B	Plant specific eukaryotic initiation factor 4B
PF06275	NULL	NULL	DUF1031	Protein of unknown function (DUF1031)
PF06276	NULL	NULL	FhuF	Ferric iron reductase FhuF-like transporter
PF06277	CL0108	Actin_ATPase	EutA	Ethanolamine utilisation protein EutA
PF06278	NULL	NULL	CNDH2_N	Condensin II complex subunit CAP-H2 or CNDH2, N-terminal
PF06279	NULL	NULL	DUF1033	Protein of unknown function (DUF1033)
PF06280	CL0159	E-set	fn3_5	Fn3-like domain
PF06281	NULL	NULL	VP1_VP3	Structural protein VP1/VP3
PF06282	NULL	NULL	DUF1036	Protein of unknown function (DUF1036)
PF06283	CL0014	Glutaminase_I	ThuA	Trehalose utilisation
PF06284	CL0153	dUTPase	Cytomega_UL84	Cytomegalovirus UL84 protein
PF06286	NULL	NULL	Coleoptericin	Coleoptericin
PF06287	NULL	NULL	DUF1039	Protein of unknown function (DUF1039)
PF06288	NULL	NULL	DUF1040	Protein of unknown function (DUF1040)
PF06289	NULL	NULL	FlbD	Flagellar and Swarming motility proteins
PF06290	NULL	NULL	PsiB	Plasmid SOS inhibition protein (PsiB)
PF06291	NULL	NULL	Lambda_Bor	Bor protein
PF06292	CL0020	TPR	MUN	MUN domain
PF06293	CL0016	PKinase	Kdo	Lipopolysaccharide kinase (Kdo/WaaP) family
PF06294	CL0188	CH	CH_2	CH-like domain in sperm protein
PF06295	NULL	NULL	DUF1043	Protein of unknown function (DUF1043)
PF06296	CL0136	Plasmid-antitox	RelE	RelE toxin of RelE / RelB toxin-antitoxin system
PF06297	NULL	NULL	PET	PET Domain
PF06298	NULL	NULL	PsbY	Photosystem II protein Y (PsbY)
PF06299	CL0247	2H	DUF1045	Protein of unknown function (DUF1045)
PF06300	CL0236	PDDEXK	Tsp45I	Tsp45I type II restriction enzyme
PF06301	NULL	NULL	Lambda_Kil	Bacteriophage lambda Kil protein
PF06303	NULL	NULL	MatP	MatP N-terminal domain
PF06304	CL0112	Yip1	DUF1048	Protein of unknown function (DUF1048)
PF06305	NULL	NULL	LapA_dom	Lipopolysaccharide assembly protein A domain
PF06306	CL0110	GT-A	CgtA	Beta-1,4-N-acetylgalactosaminyltransferase (CgtA)
PF06307	NULL	NULL	Herpes_IR6	Herpesvirus IR6 protein
PF06308	NULL	NULL	ErmC	23S rRNA methylastransferase leader peptide (ErmCL)
PF06309	CL0023	P-loop_NTPase	Torsin	Torsin
PF06311	NULL	NULL	NumbF	NUMB domain
PF06312	CL0159	E-set	Neurexophilin	Neurexophilin
PF06313	NULL	NULL	ACP53EA	Drosophila ACP53EA protein
PF06314	CL0403	ADC-like	ADC	Acetoacetate decarboxylase (ADC)
PF06315	CL0016	PKinase	AceK_kinase	Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain
PF06316	CL0193	MBB	Ail_Lom	Enterobacterial Ail/Lom protein
PF06317	NULL	NULL	Arena_RNA_pol	Arenavirus RNA polymerase
PF06319	CL0236	PDDEXK	MmcB-like	DNA repair protein MmcB-like
PF06320	NULL	NULL	GCN5L1	GCN5-like protein 1 (GCN5L1)
PF06321	CL0450	FimbA	P_gingi_FimA	Major fimbrial subunit protein (FimA)
PF06322	CL0123	HTH	Phage_NinH	Phage NinH protein
PF06323	NULL	NULL	Phage_antiter_Q	Phage antitermination protein Q
PF06324	NULL	NULL	Pigment_DH	Pigment-dispersing hormone (PDH)
PF06325	CL0063	NADP_Rossmann	PrmA	Ribosomal protein L11 methyltransferase (PrmA)
PF06326	NULL	NULL	Vesiculo_matrix	Vesiculovirus matrix protein
PF06327	CL0276	Nucleot_cyclase	Adcy_cons_dom	Adenylate cyclase, conserved domain
PF06328	CL0159	E-set	Lep_receptor_Ig	Ig-like C2-type domain
PF06330	CL0613	Terp_synthase	TRI5	Trichodiene synthase (TRI5)
PF06331	NULL	NULL	Tfb5	Transcription factor TFIIH complex subunit Tfb5
PF06333	NULL	NULL	Med13_C	Mediator complex subunit 13 C-terminal domain
PF06334	NULL	NULL	Orthopox_A47	Orthopoxvirus A47 protein
PF06335	NULL	NULL	DUF1054	Protein of unknown function (DUF1054)
PF06336	NULL	NULL	Corona_5a	Coronavirus 5a protein
PF06337	NULL	NULL	DUSP	DUSP domain
PF06338	CL0061	PLP_aminotran	ComK	ComK protein
PF06339	CL0029	Cupin	Ectoine_synth	Ectoine synthase
PF06340	NULL	NULL	TcpF	Vibrio cholerae toxin co-regulated pilus biosynthesis protein F
PF06341	NULL	NULL	DUF1056	Protein of unknown function (DUF1056)
PF06342	CL0028	AB_hydrolase	DUF1057	Alpha/beta hydrolase of unknown function (DUF1057)
PF06344	NULL	NULL	Parecho_VpG	Parechovirus Genome-linked protein
PF06345	NULL	NULL	Drf_DAD	DRF Autoregulatory Domain
PF06346	NULL	NULL	Drf_FH1	Formin Homology Region 1
PF06347	CL0010	SH3	SH3_4	Bacterial SH3 domain
PF06348	NULL	NULL	DUF1059	Protein of unknown function (DUF1059)
PF06350	NULL	NULL	HSL_N	Hormone-sensitive lipase (HSL) N-terminus
PF06351	CL0650	AOC_barrel	Allene_ox_cyc	Allene oxide cyclase
PF06353	NULL	NULL	DUF1062	Protein of unknown function (DUF1062)
PF06355	CL0293	CDC	Aegerolysin	Aegerolysin
PF06356	NULL	NULL	DUF1064	Protein of unknown function (DUF1064)
PF06357	CL0083	Omega_toxin	Omega-toxin	Omega-atracotoxin
PF06358	NULL	NULL	BNYVV_TGB3	Beet necrotic yellow vein virus, movement protein TGB3
PF06360	NULL	NULL	E_raikovi_mat	Euplotes raikovi mating pheromone
PF06361	NULL	NULL	RTBV_P12	Rice tungro bacilliform virus P12 protein
PF06362	NULL	NULL	DUF1067	Protein of unknown function (DUF1067)
PF06363	NULL	NULL	Picorna_P3A	Picornaviridae P3A protein
PF06364	NULL	NULL	DUF1068	Protein of unknown function (DUF1068)
PF06365	NULL	NULL	CD34_antigen	CD34/Podocalyxin family
PF06366	CL0202	GBD	FlhE	Flagellar protein FlhE
PF06367	CL0020	TPR	Drf_FH3	Diaphanous FH3 Domain
PF06368	NULL	NULL	Met_asp_mut_E	Methylaspartate mutase E chain (MutE)
PF06369	CL0293	CDC	Anemone_cytotox	Sea anemone cytotoxic protein
PF06370	NULL	NULL	DUF1069	Protein of unknown function (DUF1069)
PF06371	CL0020	TPR	Drf_GBD	Diaphanous GTPase-binding Domain
PF06372	CL0527	Sm-like	Gemin6	Gemin6 Sm-like domain
PF06373	CL0083	Omega_toxin	CART	Cocaine and amphetamine regulated transcript protein (CART)
PF06374	NULL	NULL	NDUF_C2	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
PF06375	NULL	NULL	AP3D1	AP-3 complex subunit delta-1 
PF06376	NULL	NULL	AGP	Arabinogalactan peptide
PF06377	NULL	NULL	Adipokin_hormo	Adipokinetic hormone
PF06378	NULL	NULL	DUF1071	Protein of unknown function (DUF1071)
PF06379	CL0184	DMT	RhaT	L-rhamnose-proton symport protein (RhaT)
PF06380	NULL	NULL	DUF1072	Protein of unknown function (DUF1072)
PF06381	NULL	NULL	DUF1073	Protein of unknown function (DUF1073)
PF06382	CL0114	HMG-box	Protamine_like	Protamine and protamine like
PF06384	NULL	NULL	ICAT	Beta-catenin-interacting protein ICAT
PF06385	NULL	NULL	Baculo_LEF-11	Baculovirus LEF-11 protein
PF06386	NULL	NULL	GvpL_GvpF	Gas vesicle synthesis protein GvpL/GvpF
PF06387	NULL	NULL	Calcyon	D1 dopamine receptor-interacting protein (calcyon)
PF06388	NULL	NULL	DUF1075	Protein of unknown function (DUF1075)
PF06389	NULL	NULL	Filo_VP24	Filovirus membrane-associated protein VP24
PF06390	NULL	NULL	NESP55	Neuroendocrine-specific golgi protein P55 (NESP55)
PF06391	NULL	NULL	MAT1	CDK-activating kinase assembly factor MAT1
PF06392	NULL	NULL	Asr	Acid shock protein repeat 
PF06393	CL0551	BCLiA	BID	BH3 interacting domain (BID)
PF06394	NULL	NULL	Pepsin-I3	Pepsin inhibitor-3-like repeated domain
PF06395	CL0188	CH	CDC24	CDC24 Calponin
PF06396	NULL	NULL	AGTRAP	Angiotensin II, type I receptor-associated protein (AGTRAP)
PF06397	CL0045	Rubredoxin	Desulfoferrod_N	Desulfoferrodoxin, N-terminal domain
PF06398	CL0484	Peroxisome	Pex24p	Integral peroxisomal membrane peroxin
PF06399	NULL	NULL	GFRP	GTP cyclohydrolase I feedback regulatory protein (GFRP)
PF06400	NULL	NULL	Alpha-2-MRAP_N	Alpha-2-macroglobulin RAP, N-terminal domain
PF06401	NULL	NULL	Alpha-2-MRAP_C	Alpha-2-macroglobulin RAP, C-terminal domain 
PF06403	NULL	NULL	Lamprin	Lamprin
PF06404	NULL	NULL	PSK	Phytosulfokine precursor protein (PSK)
PF06405	NULL	NULL	RCC_reductase	Red chlorophyll catabolite reductase (RCC reductase)
PF06406	CL0108	Actin_ATPase	StbA	StbA protein
PF06407	NULL	NULL	BDV_P40	Borna disease virus P40 protein
PF06409	NULL	NULL	NPIP	Nuclear pore complex interacting protein (NPIP)
PF06411	NULL	NULL	HdeA	HdeA/HdeB family
PF06412	NULL	NULL	TraD	Conjugal transfer protein TraD
PF06413	CL0123	HTH	Neugrin	Neugrin
PF06414	CL0023	P-loop_NTPase	Zeta_toxin	Zeta toxin
PF06415	NULL	NULL	iPGM_N	BPG-independent PGAM N-terminus (iPGM_N)
PF06416	CL0229	RING	T3SS_NleG	Effector protein NleG
PF06417	NULL	NULL	DUF1077	Protein of unknown function (DUF1077)
PF06418	CL0023	P-loop_NTPase	CTP_synth_N	CTP synthase N-terminus
PF06419	CL0295	Vps51	COG6	Conserved oligomeric complex COG6
PF06420	NULL	NULL	Mgm101p	Mitochondrial genome maintenance MGM101
PF06421	NULL	NULL	LepA_C	GTP-binding protein LepA C-terminus
PF06422	CL0181	ABC-2	PDR_CDR	CDR ABC transporter
PF06423	NULL	NULL	GWT1	GWT1
PF06424	NULL	NULL	PRP1_N	PRP1 splicing factor, N-terminal
PF06426	NULL	NULL	SATase_N	Serine acetyltransferase, N-terminal 
PF06427	CL0110	GT-A	UDP-g_GGTase	UDP-glucose:Glycoprotein Glucosyltransferase
PF06428	NULL	NULL	Sec2p	GDP/GTP exchange factor Sec2p
PF06429	NULL	NULL	Flg_bbr_C	Flagellar basal body rod FlgEFG protein C-terminal
PF06430	NULL	NULL	L_lactis_RepB_C	Lactococcus lactis RepB C-terminus
PF06431	CL0023	P-loop_NTPase	Polyoma_lg_T_C	Polyomavirus large T antigen C-terminus
PF06432	NULL	NULL	GPI2	Phosphatidylinositol N-acetylglucosaminyltransferase
PF06433	CL0186	Beta_propeller	Me-amine-dh_H	Methylamine dehydrogenase heavy chain (MADH)
PF06434	CL0364	Leu-IlvD	Aconitase_2_N	Aconitate hydratase 2 N-terminus
PF06435	NULL	NULL	DUF1079	Repeat of unknown function (DUF1079)
PF06436	NULL	NULL	Pneumovirus_M2	Pneumovirus matrix protein 2 (M2)
PF06437	NULL	NULL	ISN1	IMP-specific 5'-nucleotidase
PF06438	NULL	NULL	HasA	Heme-binding protein A (HasA)
PF06439	CL0004	Concanavalin	3keto-disac_hyd	3-keto-disaccharide hydrolase
PF06440	NULL	NULL	DNA_pol3_theta	DNA polymerase III, theta subunit
PF06441	CL0028	AB_hydrolase	EHN	Epoxide hydrolase N terminus
PF06442	CL0610	ETAP	DHFR_2	R67 dihydrofolate reductase
PF06443	NULL	NULL	SEF14_adhesin	SEF14-like adhesin 
PF06444	NULL	NULL	NADH_dehy_S2_C	NADH dehydrogenase subunit 2 C-terminus
PF06445	CL0319	SHS2	GyrI-like	GyrI-like small molecule binding domain
PF06446	NULL	NULL	Hepcidin	Hepcidin
PF06448	NULL	NULL	DUF1081	Domain of Unknown Function (DUF1081)
PF06449	NULL	NULL	YMF19_C	ATP synthase YMF19, C-terminal
PF06450	CL0182	IT	NhaB	Bacterial Na+/H+ antiporter B (NhaB)
PF06451	NULL	NULL	Moricin	Moricin
PF06452	CL0559	CBD9-like	CBM9_1	Carbohydrate family 9 binding domain-like
PF06453	NULL	NULL	LT-IIB	Type II heat-labile enterotoxin , B subunit (LT-IIB)
PF06454	CL0192	GPCR_A	THH1_TOM1-3_dom	THH1/TOM1/TOM3 domain
PF06455	NULL	NULL	NADH5_C	NADH dehydrogenase subunit 5 C-terminus
PF06456	CL0145	Golgi-transport	Arfaptin	Arfaptin-like domain
PF06457	NULL	NULL	Ectatomin	Ectatomin
PF06458	CL0072	Ubiquitin	MucBP	MucBP domain
PF06459	NULL	NULL	RR_TM4-6	Ryanodine Receptor TM 4-6
PF06460	CL0063	NADP_Rossmann	CoV_Methyltr_2	Coronavirus 2'-O-methyltransferase
PF06461	NULL	NULL	CHDII_SANT-like	CHD subfamily II, SANT-like domain
PF06462	CL0186	Beta_propeller	Hyd_WA	Propeller
PF06463	NULL	NULL	Mob_synth_C	Molybdenum Cofactor Synthesis C
PF06464	CL0660	SHOCT	DMAP_binding	DMAP1-binding Domain
PF06465	NULL	NULL	DUF1087	CHD subfamily II, DUF1087
PF06466	NULL	NULL	PCAF_N	PCAF (P300/CBP-associated factor) N-terminal domain
PF06467	CL0175	TRASH	zf-FCS	MYM-type Zinc finger with FCS sequence motif
PF06468	CL0154	C2	Spond_N	Spondin_N
PF06469	NULL	NULL	DUF1088	Neurobeachin-like, DUF1088
PF06470	NULL	NULL	SMC_hinge	SMC proteins Flexible Hinge Domain
PF06471	CL0063	NADP_Rossmann	CoV_ExoN	Coronavirus proofreading exoribonuclease
PF06472	CL0241	ABC_membrane	ABC_membrane_2	ABC transporter transmembrane region 2
PF06473	NULL	NULL	FGF-BP1	FGF binding protein 1 (FGF-BP1)
PF06474	CL0421	LppaM	MLTD_N	MltD lipid attachment motif
PF06475	NULL	NULL	Glycolipid_bind	Putative glycolipid-binding
PF06476	NULL	NULL	DUF1090	Protein of unknown function (DUF1090)
PF06477	CL0532	LIG	DUF1091	Protein of unknown function (DUF1091)
PF06478	NULL	NULL	CoV_RPol_N	Coronavirus RNA-dependent RNA polymerase, N-terminal
PF06479	NULL	NULL	Ribonuc_2-5A	Ribonuclease 2-5A
PF06480	NULL	NULL	FtsH_ext	FtsH Extracellular
PF06481	CL0026	CU_oxidase	COX_ARM	COX Aromatic Rich Motif
PF06482	CL0056	C_Lectin	Endostatin	Collagenase NC10 and Endostatin
PF06483	NULL	NULL	ChiC	Chitinase C
PF06484	NULL	NULL	Ten_N	Teneurin Intracellular Region
PF06485	NULL	NULL	Tab2-like_N	RNA-binding protein Tab2/Atab2 N terminal
PF06486	NULL	NULL	DUF1093	Protein of unknown function (DUF1093)
PF06487	CL0072	Ubiquitin	SAP18	Sin3 associated polypeptide p18 (SAP18)
PF06488	CL0569	Phage_TTPs	L_lac_phage_MSP	Phage tail tube protein
PF06489	NULL	NULL	Orthopox_A49R	Orthopoxvirus A49R protein
PF06490	CL0304	CheY	FleQ	Flagellar regulatory protein FleQ
PF06491	NULL	NULL	Disulph_isomer	Disulphide isomerase
PF06493	NULL	NULL	DUF1096	Protein of unknown function (DUF1096)
PF06495	NULL	NULL	Transformer	Fruit fly transformer protein
PF06496	NULL	NULL	DUF1097	Protein of unknown function (DUF1097)
PF06497	NULL	NULL	Baculo_Ac102	Baculovirus Ac102
PF06500	CL0028	AB_hydrolase	FrsA-like	Esterase FrsA-like
PF06501	CL0153	dUTPase	Herpes_U55	Human herpesvirus U55 protein
PF06502	NULL	NULL	Equine_IAV_S2	Equine infectious anaemia virus S2 protein
PF06503	NULL	NULL	DUF1101	Protein of unknown function (DUF1101)
PF06504	CL0123	HTH	RepC	Replication protein C (RepC)
PF06505	CL0210	HNOX-like	XylR_N	Activator of aromatic catabolism
PF06506	NULL	NULL	PrpR_N	Propionate catabolism activator
PF06507	NULL	NULL	Auxin_resp	Auxin response factor
PF06508	CL0039	HUP	QueC	Queuosine biosynthesis protein QueC
PF06510	NULL	NULL	DUF1102	Protein of unknown function (DUF1102)
PF06511	NULL	NULL	T3SS_TC	Type III secretion systems tip complex components
PF06512	NULL	NULL	Na_trans_assoc	Sodium ion transport-associated
PF06513	NULL	NULL	DUF1103	Repeat of unknown function (DUF1103)
PF06514	CL0198	HHH	PsbU	Photosystem II 12 kDa extrinsic protein (PsbU)
PF06515	NULL	NULL	BDV_P10	Borna disease virus P10 protein
PF06516	CL0408	PUP	NUP	Purine nucleoside permease (NUP)
PF06517	NULL	NULL	Orthopox_A43R	Orthopoxvirus A43R protein
PF06518	NULL	NULL	DUF1104	Protein of unknown function (DUF1104)
PF06519	CL0428	TolA-TonB-Cterm	TolA	TolA C-terminal
PF06521	NULL	NULL	PAR1	PAR1 protein
PF06522	NULL	NULL	B12D	NADH-ubiquinone reductase complex 1 MLRQ subunit
PF06523	NULL	NULL	DUF1106	Protein of unknown function (DUF1106)
PF06524	NULL	NULL	NOA36	NOA36 protein
PF06525	CL0026	CU_oxidase	SoxE	Sulfocyanin (SoxE) domain
PF06526	NULL	NULL	DUF1107	Protein of unknown function (DUF1107)
PF06527	NULL	NULL	TniQ	TniQ
PF06528	NULL	NULL	Phage_P2_GpE	Phage P2 GpE
PF06529	NULL	NULL	Vert_IL3-reg_TF	Vertebrate interleukin-3 regulated transcription factor
PF06530	CL0123	HTH	Phage_antitermQ	Phage antitermination protein Q
PF06531	NULL	NULL	DUF1108	Protein of unknown function (DUF1108)
PF06532	NULL	NULL	NrsF	Negative regulator of sigma F
PF06533	NULL	NULL	DUF1110	Protein of unknown function (DUF1110)
PF06534	NULL	NULL	RGM_C	Repulsive guidance molecule (RGM) C-terminus
PF06535	NULL	NULL	RGM_N	Repulsive guidance molecule (RGM) N-terminus
PF06536	CL0674	Triple_B_spiral	Av_adeno_fibre	Avian adenovirus fibre, N-terminal
PF06537	CL0318	Cytochrome-c	DHOR	Di-haem oxidoreductase, putative peroxidase
PF06540	NULL	NULL	GMAP	Galanin message associated peptide (GMAP)
PF06541	NULL	NULL	ABC_trans_CmpB	Putative ABC-transporter type IV
PF06542	NULL	NULL	PHA-1	Regulator protein PHA-1
PF06543	NULL	NULL	Lac_bphage_repr	Lactococcus bacteriophage repressor
PF06544	CL0622	Acylphosphatase	DUF1115	Protein of unknown function (DUF1115)
PF06545	NULL	NULL	DUF1116	Protein of unknown function (DUF1116)
PF06546	NULL	NULL	Vert_HS_TF	Vertebrate heat shock transcription factor
PF06547	NULL	NULL	DUF1117	Protein of unknown function (DUF1117)
PF06549	NULL	NULL	DUF1118	Protein of unknown function (DUF1118)
PF06550	CL0130	Peptidase_AD	SPP	Signal-peptide peptidase, presenilin aspartyl protease
PF06551	CL0204	Adhesin	DUF1120	Protein of unknown function (DUF1120)
PF06552	CL0020	TPR	TOM20_plant	Plant specific mitochondrial import receptor subunit TOM20
PF06553	NULL	NULL	BNIP3	BNIP3
PF06554	NULL	NULL	Olfactory_mark	Olfactory marker protein
PF06556	NULL	NULL	ASFV_p27	IAP-like protein p27 C-terminus
PF06557	CL0257	Acetyltrans	DUF1122	Protein of unknown function (DUF1122)
PF06558	NULL	NULL	SecM	Secretion monitor precursor protein (SecM)
PF06559	CL0153	dUTPase	DCD	2'-deoxycytidine 5'-triphosphate deaminase (DCD)
PF06560	CL0029	Cupin	GPI	Glucose-6-phosphate isomerase (GPI)
PF06563	NULL	NULL	DUF1125	Protein of unknown function (DUF1125)
PF06564	CL0023	P-loop_NTPase	CBP_BcsQ	Cellulose biosynthesis protein BcsQ
PF06565	CL0266	PH	DM10_dom	DM10 domain
PF06566	NULL	NULL	Chon_Sulph_att	Chondroitin sulphate attachment domain
PF06567	NULL	NULL	Neural_ProG_Cyt	Neural chondroitin sulphate proteoglycan cytoplasmic domain
PF06568	NULL	NULL	DUF1127	Domain of unknown function (DUF1127)
PF06569	NULL	NULL	DUF1128	Protein of unknown function (DUF1128)
PF06570	CL0112	Yip1	DUF1129	Protein of unknown function (DUF1129)
PF06572	NULL	NULL	DUF1131	Protein of unknown function (DUF1131)
PF06573	NULL	NULL	Churchill	Churchill protein
PF06574	CL0039	HUP	FAD_syn	FAD synthetase
PF06575	NULL	NULL	DUF1132	Protein of unknown function (DUF1132)
PF06576	CL0123	HTH	DUF1133	Protein of unknown function (DUF1133)
PF06577	NULL	NULL	EipA	Envelope integrity protein A
PF06578	NULL	NULL	YscK	YOP proteins translocation protein K (YscK)
PF06579	CL0117	uPAR_Ly6_toxin	Ly-6_related	Caenorhabditis elegans ly-6-related protein
PF06580	NULL	NULL	His_kinase	Histidine kinase
PF06581	CL0651	Mad2	p31comet	Mad1 and Cdc20-bound-Mad2 binding
PF06583	NULL	NULL	Neogenin_C	Neogenin C-terminus
PF06584	NULL	NULL	DIRP	DIRP
PF06585	CL0648	Aha1_BPI	JHBP	Haemolymph juvenile hormone binding protein (JHBP)
PF06586	NULL	NULL	TraK	TraK protein
PF06587	NULL	NULL	DUF1137	Protein of unknown function (DUF1137)
PF06588	CL0202	GBD	Muskelin_N	Muskelin N-terminus
PF06589	NULL	NULL	CRA	Circumsporozoite-related antigen (CRA)
PF06590	NULL	NULL	PerB	PerB protein
PF06591	NULL	NULL	Phage_T4_Ndd	T4-like phage nuclear disruption protein (Ndd)
PF06592	NULL	NULL	DUF1138	Protein of unknown function (DUF1138)
PF06593	NULL	NULL	RBDV_coat	Raspberry bushy dwarf virus coat protein
PF06594	NULL	NULL	HCBP_related	Haemolysin-type calcium binding protein related domain
PF06595	NULL	NULL	BDV_P24	Borna disease virus P24 protein
PF06596	NULL	NULL	PsbX	Photosystem II reaction centre X protein (PsbX)
PF06597	NULL	NULL	Clostridium_P47	Clostridium P-47 protein
PF06598	NULL	NULL	Chlorovi_GP_rpt	Chlorovirus glycoprotein repeat
PF06599	NULL	NULL	DUF1139	Protein of unknown function (DUF1139)
PF06600	NULL	NULL	DUF1140	Protein of unknown function (DUF1140)
PF06601	NULL	NULL	Orthopox_F6	Orthopoxvirus F6 protein
PF06602	CL0031	Phosphatase	Myotub-related	Myotubularin-like phosphatase domain
PF06603	NULL	NULL	UpxZ	UpxZ family of transcription anti-terminator antagonists
PF06605	CL0504	Phage_barrel	Prophage_tail	Prophage endopeptidase tail
PF06607	CL0621	Colipase	Prokineticin	Prokineticin
PF06608	NULL	NULL	DUF1143	Protein of unknown function (DUF1143)
PF06609	CL0015	MFS	TRI12	Fungal trichothecene efflux pump (TRI12)
PF06610	NULL	NULL	AlaE	L-alanine exporter
PF06611	NULL	NULL	DUF1145	Protein of unknown function (DUF1145)
PF06612	NULL	NULL	DUF1146	Protein of unknown function (DUF1146)
PF06613	CL0206	TRB	KorB_C	KorB C-terminal beta-barrel domain
PF06614	NULL	NULL	Neuromodulin	Neuromodulin
PF06615	NULL	NULL	Circovir2_Orf1	Circovirus 2, Orf1
PF06616	CL0236	PDDEXK	BsuBI_PstI_RE	BsuBI/PstI restriction endonuclease domain
PF06617	NULL	NULL	M-inducer_phosp	M-phase inducer phosphatase
PF06618	NULL	NULL	DUF1148	Protein of unknown function (DUF1148)
PF06619	NULL	NULL	DUF1149	Protein of unknown function (DUF1149)
PF06620	NULL	NULL	DUF1150	Protein of unknown function (DUF1150)
PF06621	NULL	NULL	SIM_C	Single-minded protein C-terminus
PF06622	NULL	NULL	SepQ	SepQ protein
PF06623	NULL	NULL	MHC_I_C	MHC_I C-terminus
PF06624	NULL	NULL	RAMP4	Ribosome associated membrane protein RAMP4
PF06625	NULL	NULL	DUF1151	Protein of unknown function (DUF1151)
PF06626	NULL	NULL	DUF1152	Protein of unknown function (DUF1152)
PF06627	CL0123	HTH	DUF1153	Protein of unknown function (DUF1153)
PF06628	NULL	NULL	Catalase-rel	Catalase-related immune-responsive
PF06629	CL0193	MBB	MipA	MltA-interacting protein MipA
PF06630	NULL	NULL	Exonuc_VIII	Enterobacterial exodeoxyribonuclease VIII
PF06631	NULL	NULL	DUF1154	Protein of unknown function (DUF1154)
PF06632	NULL	NULL	XRCC4	DNA double-strand break repair and V(D)J recombination protein XRCC4
PF06633	NULL	NULL	DUF1155	Protein of unknown function (DUF1155)
